date	open	high	low	close	volume
2009-07-08	13.138	13.172	12.834	12.978	213294.026
2009-07-09	13.079	13.645	13.037	13.569	297005.979
2009-07-10	13.577	13.679	13.358	13.476	184474.134
2009-07-13	13.561	14.152	13.518	13.822	296421.965
2009-07-14	13.89	14.448	13.729	14.22	223573.056
2009-07-15	14.236	14.566	14.093	14.203	193786.599
2009-07-16	14.279	14.363	14.042	14.135	160862.045
2009-07-17	14.194	14.515	14.051	14.431	197843.668
2009-07-20	14.608	15.174	14.6	14.971	336493.644
2009-07-21	15.056	15.276	14.718	14.769	264383.956
2009-07-22	14.828	15.25	14.642	15.183	204038.524
2009-07-23	15.2	15.293	14.904	15.031	160661.223
2009-07-24	15.124	15.25	14.524	14.743	190767.86
2009-07-27	14.853	15.115	14.574	14.887	257025.582
2009-07-28	14.929	15.335	14.659	15.157	256283.125
2009-07-29	15.14	15.335	13.958	14.389	290603.854
2009-07-30	14.473	14.743	14.211	14.456	205767.299
2009-07-31	14.6	14.786	14.431	14.701	221863.307
2009-08-03	14.819	14.87	14.541	14.769	201532.018
2009-08-04	14.786	14.828	14.49	14.743	223217.162
2009-08-05	14.709	15.159	14.616	14.811	287648.882
2009-08-06	14.811	15.345	14.65	15.099	342766.083
2009-08-07	15.082	15.184	14.226	14.269	291534.385
2009-08-10	14.515	14.709	14.15	14.379	185827.109
2009-08-11	14.447	14.489	14.193	14.243	120974.256
2009-08-12	14.201	14.303	13.388	13.455	188409.476
2009-08-13	13.557	13.676	13.405	13.54	130625.413
2009-08-14	13.574	13.633	12.778	12.828	183298.766
2009-08-17	12.71	12.964	12.269	12.312	182250.784
2009-08-18	12.371	12.591	12.295	12.473	108007.232
2009-08-19	12.583	12.583	11.591	11.862	166979.416
2009-08-20	11.896	12.151	11.71	12.142	138669.179
2009-08-21	12.108	12.235	11.922	12.218	173450.37
2009-08-24	12.244	12.439	12.151	12.32	147017.607
2009-08-25	12.32	12.371	11.659	11.871	184781.398
2009-08-26	11.913	12.32	11.862	12.201	155622.24
2009-08-27	12.244	12.871	12.125	12.659	265968.319
2009-08-28	12.473	12.71	12.057	12.278	190338.289
2009-08-31	12.134	12.176	11.456	11.49	168822.412
2009-09-01	11.49	11.651	11.295	11.38	109128.846
2009-09-02	11.38	11.524	11.269	11.396	69324.193
2009-09-03	11.413	11.964	11.413	11.879	160463.875
2009-09-04	11.862	11.922	11.752	11.896	129754.207
2009-09-07	11.973	12.1	11.862	11.913	144245.135
2009-09-08	11.862	11.99	11.701	11.981	161657.155
2009-09-09	11.99	12.015	11.778	12.007	160297.826
2009-09-10	12.032	12.227	11.913	11.947	187951.297
2009-09-11	11.862	12.151	11.82	12.083	171092.093
2009-09-14	12.108	12.379	12.108	12.312	166024.088
2009-09-15	12.32	12.456	12.176	12.329	150308.961
2009-09-16	12.354	12.43	12.066	12.193	150506.378
2009-09-17	12.218	12.498	12.201	12.456	144981.752
2009-09-18	12.473	12.54	11.99	12.091	147625.585
2009-09-21	11.939	12.193	11.769	12.159	104278.356
2009-09-22	12.151	12.498	12.015	12.04	164481.373
2009-09-23	11.99	12.244	11.812	11.939	105010.186
2009-09-24	11.862	12.007	11.718	11.871	77976.157
2009-09-25	11.896	11.964	11.82	11.854	52333.833
2009-09-28	11.888	11.939	11.464	11.524	73669.273
2009-09-29	11.507	11.566	11.176	11.32	82922.461
2009-09-30	11.354	11.524	11.337	11.363	50234.437
2009-10-09	11.557	11.795	11.532	11.778	85146.269
2009-10-12	11.846	12.1	11.82	11.829	78773.62
2009-10-13	11.862	11.922	11.761	11.879	72575.519
2009-10-14	11.905	12.134	11.905	11.99	106352.832
2009-10-15	12.1	12.117	11.837	11.896	111290.019
2009-10-16	11.947	12.023	11.82	11.981	73800.388
2009-10-19	11.981	12.176	11.888	12.168	118547.117
2009-10-20	12.184	12.362	12.117	12.21	179513.4
2009-10-21	12.218	12.286	12.074	12.091	139651.917
2009-10-22	12.108	12.168	11.981	12.057	97974.772
2009-10-23	12.125	12.464	12.125	12.269	239638.625
2009-10-26	12.244	12.329	12.168	12.21	99540.399
2009-10-27	12.286	12.489	12.142	12.193	227287.111
2009-10-28	12.142	12.235	12.015	12.176	116204.49
2009-10-29	12.057	12.159	11.871	11.964	113244.777
2009-10-30	12.117	12.176	11.99	12.007	93456.22
2009-11-02	11.871	12.735	11.862	12.617	283265.536
2009-11-03	12.625	12.964	12.549	12.795	235396.07
2009-11-04	12.837	13.117	12.795	12.956	187376.068
2009-11-05	13.108	13.532	13.04	13.311	274710.769
2009-11-06	13.472	13.506	13.091	13.159	231461.982
2009-11-09	13.227	13.244	12.972	13.125	141293.141
2009-11-10	13.142	13.269	13.023	13.049	134504.84
2009-11-11	13.049	13.108	12.845	13.006	115652.444
2009-11-12	13.032	13.388	13.006	13.252	186119.764
2009-11-13	13.218	13.43	12.981	13.227	146550.87
2009-11-16	13.345	13.599	13.286	13.506	191245.379
2009-11-17	13.515	13.794	13.43	13.523	158647.917
2009-11-18	13.472	13.684	13.371	13.455	128433.99
2009-11-19	13.455	13.489	13.227	13.455	183327.829
2009-11-20	13.413	13.65	13.303	13.54	164540.965
2009-11-23	13.549	13.735	13.489	13.65	149676.835
2009-11-24	13.684	13.693	12.939	12.972	271188.791
2009-11-25	12.964	13.252	12.939	13.218	184308.458
2009-11-26	13.235	13.515	12.617	12.718	242226.695
2009-11-27	12.549	12.862	12.456	12.617	162282.02
2009-11-30	12.65	12.981	12.642	12.956	124422.635
2009-12-01	12.956	13.167	12.837	13.125	141452.505
2009-12-02	13.184	13.21	13.049	13.142	131271.519
2009-12-03	13.133	13.167	12.913	13.057	102361.253
2009-12-04	13.1	13.201	12.761	13.176	192863.649
2009-12-07	13.176	13.43	13.133	13.261	156200.213
2009-12-08	13.277	13.345	12.989	13.091	106986.195
2009-12-09	13.015	13.023	12.693	12.71	163171.663
2009-12-10	12.803	13.184	12.735	13.176	145887.681
2009-12-11	13.218	13.261	13.006	13.04	98499.357
2009-12-14	13.032	13.464	12.752	13.413	260616.31
2009-12-15	13.413	13.413	13.133	13.193	129582.752
2009-12-16	13.235	13.642	13.184	13.388	274413.961
2009-12-17	13.269	13.464	13.032	13.049	152962.385
2009-12-18	12.93	13.227	12.795	13.04	154594.729
2009-12-21	13.006	13.845	12.972	13.65	407203.419
2009-12-22	13.65	13.854	13.489	13.701	255271.502
2009-12-23	13.727	14.116	13.599	14.023	291700.391
2009-12-24	14.006	14.828	13.888	14.345	408717.419
2009-12-25	14.277	14.489	14.176	14.294	205574.571
2009-12-28	14.32	14.464	14.226	14.337	190949.08
2009-12-29	14.345	14.718	14.311	14.481	197704.979
2009-12-30	14.498	14.532	14.066	14.345	232798.018
